"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Zero-Shot Learning Over Large Output Spaces : Utilizing Indirect
  Knowledge Extraction from Large Language Models","https://scispace.com/paper/zero-shot-learning-over-large-output-spaces-utilizing-1hubjrefpw","2024","Preprint","","Jinbin Zhang
Nasib Ullah
Rohit Babbar","10.48550/arxiv.2406.09288","https://scispace.compdf/zero-shot-learning-over-large-output-spaces-utilizing-1hubjrefpw.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to extract indirect knowledge for zero‑shot tagging across large label spaces; demonstrates zero‑shot performance and evaluates on multiple datasets, but does not address schema reverse‑engineering or hierarchical class induction.","Extreme Multi-label Learning (XMC) is a task that allocates the most relevant labels for an instance from a predefined label set. Extreme Zero-shot XMC (EZ-XMC) is a special setting of XMC wherein no supervision is provided; only the instances (raw text of the document) and the predetermined label set are given. The scenario is designed to address cold-start problems in categorization and recommendation. Traditional state-of-the-art methods extract pseudo labels from the document title or segments. These labels from the document are used to train a zero-shot bi-encoder model. The main issue with these generated labels is their misalignment with the tagging task. In this work, we propose a framework to train a small bi-encoder model via the feedback from the large language model (LLM), the bi-encoder model encodes the document and labels into embeddings for retrieval. Our approach leverages the zero-shot ability of LLM to assess the correlation between labels and the document instead of using the low-quality labels extracted from the document itself. Our method also guarantees fast inference without the involvement of LLM. The performance of our approach outperforms the SOTA methods on various datasets while retaining a similar training time for large datasets. "
"KnowCoder: Coding Structured Knowledge into LLMs for Universal Information Extraction","https://scispace.com/paper/knowcoder-coding-structured-knowledge-into-llms-for-vw3kpx5jpz","2024","Journal Article","arXiv.org","Zixuan Li
Yutao Zeng
Yuxin Zuo
Weicheng Ren
Wenxuan Liu
Miao Su
Yucan Guo
Yantao Liu
Xiang Li
Zhilei Hu
Long Bai
Wei Li
Yidan Liu
Pan Yang
Xiaolong Jin
Jiafeng Guo
Xueqi Cheng","10.48550/arxiv.2403.07969","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to generate code‑style schemas and achieves strong zero‑shot UIE performance; evaluates on multiple UIE datasets but does not reverse‑engineer schemas or induce document class hierarchies, and lacks detailed scalability or generative‑vs‑extractive ablations.","In this paper, we propose KnowCoder, a Large Language Model (LLM) to conduct Universal Information Extraction (UIE) via code generation. KnowCoder aims to develop a kind of unified schema representation that LLMs can easily understand and an effective learning framework that encourages LLMs to follow schemas and extract structured knowledge accurately. To achieve these, KnowCoder introduces a code-style schema representation method to uniformly transform different schemas into Python classes, with which complex schema information, such as constraints among tasks in UIE, can be captured in an LLM-friendly manner. We further construct a code-style schema library covering over $\textbf{30,000}$ types of knowledge, which is the largest one for UIE, to the best of our knowledge. To ease the learning process of LLMs, KnowCoder contains a two-phase learning framework that enhances its schema understanding ability via code pretraining and its schema following ability via instruction tuning. After code pretraining on around $1.5$B automatically constructed data, KnowCoder already attains remarkable generalization ability and achieves relative improvements by $\textbf{49.8%}$ F1, compared to LLaMA2, under the few-shot setting. After instruction tuning, KnowCoder further exhibits strong generalization ability on unseen schemas and achieves up to $\textbf{12.5%}$ and $\textbf{21.9%}$, compared to sota baselines, under the zero-shot setting and the low resource setting, respectively. Additionally, based on our unified schema representations, various human-annotated datasets can simultaneously be utilized to refine KnowCoder, which achieves significant improvements up to $\textbf{7.5%}$ under the supervised setting."
"Iterative Zero-Shot LLM Prompting for Knowledge Graph Construction","https://scispace.com/paper/iterative-zero-shot-llm-prompting-for-knowledge-graph-1jct9ab9","2023","Journal Article","arXiv.org","Salvatore Carta
Alessandro Giuliani
Lee Hye Won Cecilia piano
Alessandro Sebastian Podda
Livio Pompianu","10.48550/arXiv.2307.01128","https://scispace.compdf/iterative-zero-shot-llm-prompting-for-knowledge-graph-1jct9ab9.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses iterative zero‑shot LLM prompting to build knowledge graphs; LLM central, zero‑shot, but no schema reverse‑engineering, class taxonomy, or benchmark/scalability analysis.","In the current digitalization era, capturing and effectively representing knowledge is crucial in most real-world scenarios. In this context, knowledge graphs represent a potent tool for retrieving and organizing a vast amount of information in a properly interconnected and interpretable structure. However, their generation is still challenging and often requires considerable human effort and domain expertise, hampering the scalability and flexibility across different application fields. This paper proposes an innovative knowledge graph generation approach that leverages the potential of the latest generative large language models, such as GPT-3.5, that can address all the main critical issues in knowledge graph building. The approach is conveyed in a pipeline that comprises novel iterative zero-shot and external knowledge-agnostic strategies in the main stages of the generation process. Our unique manifold approach may encompass significant benefits to the scientific community. In particular, the main contribution can be summarized by: (i) an innovative strategy for iteratively prompting large language models to extract relevant components of the final graph; (ii) a zero-shot strategy for each prompt, meaning that there is no need for providing examples for""guiding""the prompt result; (iii) a scalable solution, as the adoption of LLMs avoids the need for any external resources or human expertise. To assess the effectiveness of our proposed model, we performed experiments on a dataset that covered a specific domain. We claim that our proposal is a suitable solution for scalable and versatile knowledge graph construction and may be applied to different and novel contexts."
"PGD-RTE: Zero-Shot Document-level Relation Triplet Extraction via Guided Generation of Synthetic Data and Cross-Document Denoising in LLMs","https://scispace.com/paper/pgd-rte-zero-shot-document-level-relation-triplet-extraction-g75i8y7wwo49","2025","Journal Article","","Fuyuan Quan
Qi Li
Yan Xu
Zhikui Hu
Hongjuan Hu
Xinxin Chen
Kangli Zi","10.1145/3747912.3747942","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses DeepSeek LLM to generate synthetic triplet data and denoise, enabling zero‑shot relation extraction. Does not address schema reverse‑engineering, class taxonomy, or multi‑domain evaluation; lacks scalability or benchmark focus, though includes limited ablations of generation vs denoising.","Document-level Relation Triplet Extraction (DocRTE) aims to identify entities and their relationships in large text data. Traditional methods rely on large, manually labeled datasets, which are costly and time-consuming. Large Language Models (LLMs) can generate labeled data automatically, but data quality issues still exist in LLM-based approaches. To address this, we propose a Zero-shot Relation Triplet Extraction (ZeroRTE) framework—Prompt-guided Generation, Denoising, and Data-driven Relation Triplet Extraction (PGD-RTE). This framework uses LLMs to generate labeled data, applies denoising, and fine-tunes a Relation Triplet Extraction (RTE) model. It includes a Guided Generation Strategy Prompt (GGSP) to guide DeepSeek in generating labeled text and a cross-document knowledge denoising strategy using fine-grained consistency scoring to improve data quality. BERT is then fine-tuned on the denoised data. Experimental results show that PGD-RTE outperforms baseline models, achieving significant improvements in ZeroRTE tasks."
"ReMatch: Retrieval Enhanced Schema Matching with LLMs","https://scispace.com/paper/rematch-retrieval-enhanced-schema-matching-with-llms-oy1f1gsh7i","2024","Journal Article","arXiv.org","Eitam Sheetrit
Menachem Brief
Moshik Mishaeli
Oren Elisha","10.48550/arxiv.2403.01567","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs for schema matching without training; zero‑shot and works across several real‑world schemas, but lacks document reverse‑engineering, class induction, benchmark, scalability, and ablation details.","Schema matching is a crucial task in data integration, involving the alignment of a source database schema with a target schema to establish correspondence between their elements. This task is challenging due to textual and semantic heterogeneity, as well as differences in schema sizes. Although machine-learning-based solutions have been explored in numerous studies, they often suffer from low accuracy, require manual mapping of the schemas for model training, or need access to source schema data which might be unavailable due to privacy concerns. In this paper we present a novel method, named ReMatch, for matching schemas using retrieval-enhanced Large Language Models (LLMs). Our method avoids the need for predefined mapping, any model training, or access to data in the source database. In the ReMatch method the tables of the target schema and the attributes of the source schema are first represented as structured passage-based documents. For each source attribute document, we retrieve $J$ documents, representing target schema tables, according to their semantic relevance. Subsequently, we create a prompt for every source table, comprising all its attributes and their descriptions, alongside all attributes from the set of top $J$ target tables retrieved previously. We employ LLMs using this prompt for the matching task, yielding a ranked list of $K$ potential matches for each source attribute. Our experimental results on large real-world schemas demonstrate that ReMatch significantly improves matching capabilities and outperforms other machine learning approaches. By eliminating the requirement for training data, ReMatch becomes a viable solution for real-world scenarios."
"Large Language Models as Visual Cross-Domain Learners","https://scispace.com/paper/large-language-models-as-visual-cross-domain-learners-2mgw3b5mm4","2024","Journal Article","arXiv.org","Shuhao Chen
Yulong Zhang
Weisen Jiang
Jiangang Lu
Yu Zhang","10.48550/arxiv.2401.03253","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to process image‑derived text for cross‑domain visual tasks; lacks schema reverse‑engineering, document taxonomy, and zero‑shot document experiments.","Recent advances achieved by deep learning models rely on the independent and identically distributed assumption, hindering their applications in real-world scenarios with domain shifts. To address the above issues, cross-domain learning aims at extracting domain-invariant knowledge to reduce the domain shift between training and testing data. However, in visual cross-domain learning, traditional methods concentrate solely on the image modality, neglecting the use of the text modality to alleviate the domain shift. In this work, we propose Large Language models as Visual cross-dOmain learners (LLaVO). LLaVO uses vision-language models to convert images into detailed textual descriptions. A large language model is then finetuned on textual descriptions of the source/target domain generated by a designed instruction template. Extensive experimental results on various cross-domain tasks under the domain generalization and unsupervised domain adaptation settings have demonstrated the effectiveness of the proposed method."
"SERVAL: Surprisingly Effective Zero-Shot Visual Document Retrieval Powered by Large Vision and Language Models","https://scispace.com/paper/serval-surprisingly-effective-zero-shot-visual-document-bxl051o0zchj","2025","Journal Article","","Nguyen, Thong
Lei, Yibin
Ju, Jia-Huei
Yates, Andrew","10.48550/arxiv.2509.15432","https://scispace.compdf/serval-surprisingly-effective-zero-shot-visual-document-bxl051o0zchj.pdf","- **Relevance Score:** 17/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Zero-shot retrieval: Uses vision‑language model without fine‑tuning to achieve nDCG on ViDoRe‑v2. Benchmark evaluation: Provides results on standard VDR dataset. Scalability: Claims better scaling to large collections, though limited analysis.","Visual Document Retrieval (VDR) typically operates as text-to-image retrieval using specialized bi-encoders trained to directly embed document images. We revisit a zero-shot generate-and-encode pipeline: a vision-language model first produces a detailed textual description of each document image, which is then embedded by a standard text encoder. On the ViDoRe-v2 benchmark, the method reaches 63.4% nDCG@5, surpassing the strongest specialised multi-vector visual document encoder. It also scales better to large collections and offers broader multilingual coverage. Analysis shows that modern vision-language models capture complex textual and visual cues with sufficient granularity to act as a reusable semantic proxy. By offloading modality alignment to pretrained vision-language models, our approach removes the need for computationally intensive text-image contrastive training and establishes a strong zero-shot baseline for future VDR systems. "
"DocIE@XLLM25: In-Context Learning for Information Extraction using Fully Synthetic Demonstrations","https://scispace.com/paper/docie-xllm25-in-context-learning-for-information-extraction-0dxj15gob7nb","2025","Journal Article","","Popovic, Nicholas
Schopf, Tim
Farber, Michael","10.48550/arxiv.2507.05997","","- **Relevance Score:** 14/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to generate synthetic IE demonstrations and evaluates zero‑shot IE on a shared‑task benchmark; lacks schema reverse‑engineering, class‑structure focus, cross‑domain tests, scalability or ablation analyses.","Large, high-quality annotated corpora remain scarce in document-level entity and relation extraction in zero-shot or few-shot settings. In this paper, we present a fully automatic, LLM-based pipeline for synthetic data generation and in-context learning for document-level entity and relation extraction. In contrast to existing approaches that rely on manually annotated demonstrations or direct zero-shot inference, our method combines synthetic data generation with retrieval-based in-context learning, using a reasoning-optimized language model. This allows us to build a high-quality demonstration database without manual annotation and to dynamically retrieve relevant examples at inference time. Based on our approach we produce a synthetic dataset of over $5k$ Wikipedia abstracts with approximately $59k$ entities and $30k$ relation triples. Finally, we evaluate in-context learning performance on the DocIE shared task, extracting entities and relations from long documents in a zero-shot setting. We find that in-context joint entity and relation extraction at document-level remains a challenging task, even for state-of-the-art large language models. "
"GLiREL -- Generalist Model for Zero-Shot Relation Extraction","https://scispace.com/paper/glirel-generalist-model-for-zero-shot-relation-extraction-2v6gyc2z1ptl","2025","Journal Article","","Jack Boylan
Chris Hokamp
Demian Gholipour Ghalandari","10.48550/arxiv.2501.03172","https://scispace.compdf/glirel-generalist-model-for-zero-shot-relation-extraction-2v6gyc2z1ptl.pdf","- **Relevance Score:** 14/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Zero‑shot RE core, scalable multi‑pair inference, and benchmark tests; LLM used only for data synthesis, no schema reverse‑engineering; lacks document taxonomy focus.","We introduce GLiREL (Generalist Lightweight model for zero-shot Relation Extraction), an efficient architecture and training paradigm for zero-shot relation classification. Inspired by recent advancements in zero-shot named entity recognition, this work presents an approach to efficiently and accurately predict zero-shot relationship labels between multiple entities in a single forward pass. Experiments using the FewRel and WikiZSL benchmarks demonstrate that our approach achieves state-of-the-art results on the zero-shot relation classification task. In addition, we contribute a protocol for synthetically-generating datasets with diverse relation labels. "
"Think Inside the JSON: Reinforcement Strategy for Strict LLM Schema Adherence","https://scispace.com/paper/think-inside-the-json-reinforcement-strategy-for-strict-llm-hde5lp93njhs","2025","Journal Article","arXiv.org","Bhavik Agarwal
Ishan Joshi
Viktoria Rojkova","10.48550/arxiv.2502.14905","https://scispace.compdf/think-inside-the-json-reinforcement-strategy-for-strict-llm-hde5lp93njhs.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to generate strict JSON from text and creates synthetic cross‑domain pairs, but does not target hierarchical class induction, zero‑shot testing, benchmark evaluation, scalability, or ablation analysis.",""
"Uncovering Cross-Domain Recommendation Ability of Large Language Models","https://scispace.com/paper/uncovering-cross-domain-recommendation-ability-of-large-wrcplhdl5kjt","2025","Repository","","Liu Xinyi
Wang Rui-jie
Sun, Dachun
Hakkani-Tur, Dilek
Abdelzaher Tarek","10.48550/arxiv.2503.07761","","- **Relevance Score:** 9/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to generate cross-domain recommendation prompts; evaluates across source/target domains, but focuses on recommendation, not schema reverse‑engineering or document taxonomy.","Cross-Domain Recommendation (CDR) seeks to enhance item retrieval in low-resource domains by transferring knowledge from high-resource domains. While recent advancements in Large Language Models (LLMs) have demonstrated their potential in Recommender Systems (RS), their ability to effectively transfer domain knowledge for improved recommendations remains underexplored. To bridge this gap, we propose LLM4CDR, a novel CDR pipeline that constructs context-aware prompts by leveraging users' purchase history sequences from a source domain along with shared features between source and target domains. Through extensive experiments, we show that LLM4CDR achieves strong performance, particularly when using LLMs with large parameter sizes and when the source and target domains exhibit smaller domain gaps. For instance, incorporating CD and Vinyl purchase history for recommendations in Movies and TV yields a 64.28 percent MAP 1 improvement. We further investigate key factors including source domain data, domain gap, prompt design, and LLM size, which impact LLM4CDR's effectiveness in CDR tasks. Our results highlight that LLM4CDR excels when leveraging a single, closely related source domain and benefits significantly from larger LLMs. These insights pave the way for future research on LLM-driven cross-domain recommendations. "
